time,x,y,z,yaw,totalWeight,centroidCol,centroidRow,yawAngle
740036.0698819676,1.4880,-0.0012,-0.8749,0.0000,2760,80.0,60.5,1.2000
740036.0698820486,1.4891,-0.0012,-0.8748,0.0000,2760,80.0,60.5,1.2000
740036.0698821065,1.4901,-0.0012,-0.8747,0.0000,2760,80.0,60.5,1.2000
740036.0698825695,1.4911,-0.0012,-0.8746,0.0000,2760,80.0,60.5,1.2000
740036.0698826505,1.4922,-0.0012,-0.8745,0.0000,2760,80.0,60.5,1.2000
740036.0698827199,1.4932,-0.0012,-0.8745,0.0000,2760,80.0,60.5,1.2000
740036.0698828009,1.4943,-0.0012,-0.8744,0.0000,2760,80.0,60.5,1.2000
740036.0698831597,1.4953,-0.0012,-0.8743,-0.0000,2760,80.0,60.5,1.2000
740036.0698832639,1.4964,-0.0012,-0.8742,-0.0000,2760,80.0,60.5,1.2000
740036.0698833449,1.4974,-0.0012,-0.8742,-0.0000,2760,80.0,60.5,1.2000
740036.0698834143,1.4984,-0.0012,-0.8741,-0.0000,2760,80.0,60.5,1.2000
740036.0698836806,1.4995,-0.0012,-0.8740,-0.0000,2760,80.0,60.5,1.2000
740036.0698837501,1.5005,-0.0012,-0.8740,-0.0000,2760,80.0,60.5,1.2000
740036.0698838194,1.5015,-0.0012,-0.8739,-0.0000,2760,80.0,60.5,1.2000
740036.0698839120,1.5026,-0.0012,-0.8739,-0.0000,2760,80.0,60.5,1.2000
740036.0698841551,1.5036,-0.0012,-0.8738,-0.0000,2760,80.0,60.5,1.2000
740036.0698842246,1.5046,-0.0012,-0.8738,-0.0000,2760,80.0,60.5,1.2000
740036.0698843056,1.5057,-0.0012,-0.8737,0.0000,2760,80.0,60.5,1.2000
740036.0698843866,1.5067,-0.0012,-0.8736,0.0000,2760,80.0,60.5,1.2000
740036.0698846644,1.5077,-0.0012,-0.8736,-0.0000,2760,80.0,60.5,1.2000
740036.0698847454,1.5088,-0.0012,-0.8735,-0.0000,2760,80.0,60.5,1.2000
740036.0698848264,1.5098,-0.0013,-0.8735,-0.0000,2760,80.0,60.5,1.2000
740036.0698848958,1.5108,-0.0013,-0.8734,-0.0000,2760,80.0,60.5,1.2000
740036.0698853009,1.5119,-0.0013,-0.8734,-0.0000,2760,80.0,60.5,1.2000
740036.0698853820,1.5129,-0.0013,-0.8733,-0.0000,2760,80.0,60.5,1.2000
740036.0698854398,1.5139,-0.0013,-0.8733,-0.0000,2760,80.0,60.5,1.2000
740036.0698857986,1.5149,-0.0013,-0.8732,-0.0000,2760,80.0,60.5,1.2000
740036.0698863078,1.5160,-0.0013,-0.8732,-0.0000,2762,80.0,60.5,1.2000
740036.0698864120,1.5170,-0.0013,-0.8732,-0.0000,2762,80.0,60.5,1.2000
740036.0698865047,1.5180,-0.0014,-0.8731,-0.0000,2762,80.0,60.5,1.2000
740036.0698865857,1.5190,-0.0014,-0.8731,-0.0000,2762,80.0,60.5,1.2000
740036.0698868056,1.5200,-0.0014,-0.8730,-0.0000,2762,80.0,60.5,1.2000
740036.0698868866,1.5211,-0.0014,-0.8730,-0.0000,2762,80.0,60.5,1.2000
740036.0698869445,1.5221,-0.0014,-0.8729,-0.0000,2762,80.0,60.5,1.2000
740036.0698870139,1.5231,-0.0014,-0.8729,0.0000,2762,80.0,60.5,1.2000
740036.0698872569,1.5241,-0.0014,-0.8728,0.0000,2762,80.0,60.5,1.2000
740036.0698873263,1.5252,-0.0014,-0.8728,0.0000,2762,80.0,60.5,1.2000
740036.0698873843,1.5262,-0.0014,-0.8727,0.0000,2762,80.0,60.5,1.2000
740036.0698874537,1.5273,-0.0014,-0.8726,0.0000,2762,80.0,60.5,1.2000
740036.0698876968,1.5283,-0.0014,-0.8726,-0.0000,2762,80.0,60.5,1.2000
740036.0698877661,1.5293,-0.0014,-0.8725,-0.0000,2762,80.0,60.5,1.2000
740036.0698878241,1.5304,-0.0014,-0.8724,-0.0000,2762,80.0,60.5,1.2000
740036.0698878935,1.5314,-0.0014,-0.8724,0.0000,2762,80.0,60.5,1.2000
740036.0698881366,1.5324,-0.0014,-0.8723,0.0000,2762,80.0,60.5,1.2000
740036.0698882060,1.5335,-0.0014,-0.8723,0.0000,2762,80.0,60.5,1.2000
740036.0698882639,1.5345,-0.0014,-0.8722,0.0000,2762,80.0,60.5,1.2000
740036.0698883565,1.5355,-0.0014,-0.8721,0.0000,2762,80.0,60.5,1.2000
740036.0698885996,1.5366,-0.0014,-0.8720,0.0000,2762,80.0,60.5,1.2000
740036.0698886689,1.5376,-0.0014,-0.8720,0.0000,2762,80.0,60.5,1.2000
740036.0698895486,1.5387,-0.0014,-0.8719,0.0000,2762,80.0,60.5,1.2000
740036.0698896528,1.5397,-0.0014,-0.8718,0.0000,2762,80.0,60.5,1.2000
740036.0698899190,1.5408,-0.0014,-0.8717,0.0000,2762,80.0,60.5,1.2000
740036.0698899884,1.5418,-0.0014,-0.8716,0.0000,2762,80.0,60.5,1.2000
740036.0698900463,1.5429,-0.0013,-0.8715,0.0000,2762,80.0,60.5,1.2000
740036.0698901041,1.5439,-0.0013,-0.8714,0.0000,2762,80.0,60.5,1.2000
740036.0698903935,1.5449,-0.0013,-0.8713,-0.0000,2762,80.0,60.5,1.2000
740036.0698904746,1.5460,-0.0013,-0.8712,-0.0000,2762,80.0,60.5,1.2000
740036.0698905439,1.5470,-0.0013,-0.8712,-0.0000,2762,80.0,60.5,1.2000
740036.0698906134,1.5481,-0.0013,-0.8711,-0.0000,2762,80.0,60.5,1.2000
740036.0698909607,1.5491,-0.0013,-0.8710,-0.0000,2762,80.0,60.5,1.2000
740036.0698910301,1.5501,-0.0013,-0.8710,-0.0000,2762,80.0,60.5,1.2000
740036.0698911226,1.5511,-0.0013,-0.8709,-0.0000,2762,80.0,60.5,1.2000
740036.0698911921,1.5522,-0.0014,-0.8709,0.0000,2762,80.0,60.5,1.2000
740036.0698914236,1.5532,-0.0014,-0.8708,0.0000,2762,80.0,60.5,1.2000
740036.0698915046,1.5542,-0.0014,-0.8708,0.0000,2762,80.0,60.5,1.2000
740036.0698915625,1.5552,-0.0014,-0.8707,0.0000,2762,80.0,60.5,1.2000
740036.0698916435,1.5563,-0.0014,-0.8707,0.0000,2762,80.0,60.5,1.2000
740036.0698920254,1.5573,-0.0014,-0.8706,0.0000,2760,80.0,60.5,1.2000
740036.0698921065,1.5584,-0.0014,-0.8705,0.0000,2760,80.0,60.5,1.2000
740036.0698921760,1.5594,-0.0014,-0.8704,0.0000,2760,80.0,60.5,1.2000
740036.0698922685,1.5604,-0.0013,-0.8704,0.0000,2760,80.0,60.5,1.2000
740036.0698933565,1.5615,-0.0013,-0.8703,0.0000,2760,80.0,60.5,1.2000
740036.0698934491,1.5625,-0.0013,-0.8702,0.0000,2760,80.0,60.5,1.2000
740036.0698935301,1.5636,-0.0013,-0.8701,0.0000,2760,80.0,60.5,1.2000
740036.0698935995,1.5646,-0.0013,-0.8700,0.0000,2760,80.0,60.5,1.2000
740036.0698938774,1.5656,-0.0013,-0.8700,0.0000,2760,80.0,60.5,1.2000
740036.0698939583,1.5667,-0.0013,-0.8699,0.0000,2760,80.0,60.5,1.2000
740036.0698940046,1.5677,-0.0013,-0.8698,0.0000,2760,80.0,60.5,1.2000
740036.0698940973,1.5688,-0.0013,-0.8698,0.0000,2760,80.0,60.5,1.2000
740036.0698943750,1.5698,-0.0013,-0.8697,-0.0000,2760,80.0,60.5,1.2000
740036.0698944676,1.5708,-0.0013,-0.8696,-0.0000,2760,80.0,60.5,1.2000
740036.0698945370,1.5719,-0.0013,-0.8696,-0.0000,2760,80.0,60.5,1.2000
740036.0698946065,1.5729,-0.0013,-0.8695,-0.0000,2760,80.0,60.5,1.2000
740036.0698948727,1.5739,-0.0013,-0.8694,-0.0000,2760,80.0,60.5,1.2000
740036.0698949306,1.5750,-0.0013,-0.8694,-0.0000,2760,80.0,60.5,1.2000
740036.0698950000,1.5760,-0.0013,-0.8693,-0.0000,2760,80.0,60.5,1.2000
740036.0698950810,1.5770,-0.0013,-0.8693,-0.0000,2760,80.0,60.5,1.2000
740036.0698953472,1.5780,-0.0014,-0.8693,-0.0000,2760,80.0,60.5,1.2000
740036.0698954166,1.5790,-0.0014,-0.8692,-0.0000,2760,80.0,60.5,1.2000
740036.0698954861,1.5800,-0.0014,-0.8692,-0.0000,2760,80.0,60.5,1.2000
740036.0698955440,1.5811,-0.0014,-0.8692,-0.0000,2760,80.0,60.5,1.2000
740036.0698958102,1.5821,-0.0014,-0.8691,-0.0000,2760,80.0,60.5,1.2000
740036.0698958681,1.5831,-0.0014,-0.8691,-0.0000,2760,80.0,60.5,1.2000
740036.0698959491,1.5841,-0.0014,-0.8690,-0.0000,2760,80.0,60.5,1.2000
740036.0698960070,1.5851,-0.0015,-0.8690,-0.0000,2760,80.0,60.5,1.2000
740036.0698962616,1.5862,-0.0015,-0.8690,-0.0000,2760,80.0,60.5,1.2000
740036.0698972337,1.5872,-0.0015,-0.8689,0.0000,2760,80.0,60.5,1.2000
740036.0698974074,1.5882,-0.0015,-0.8689,0.0000,2760,80.0,60.5,1.2000
740036.0698975695,1.5892,-0.0015,-0.8688,0.0000,2760,80.0,60.5,1.2000
